DataHora;Satelite;Pais;Estado;Municipi;Bioma;DiaSemCh;Precipit;RiscoFog;Latitude;Longitud;AreaIndu;FRP
2019/09/08 16:15:00;AQUA_M-T;Brasil;GOIAS;CATALAO;Cerrado;12;0;"0,98";"-18,131";"-47,824";;76.9
2019/09/08 16:15:00;AQUA_M-T;Brasil;ESPIRITO SANTO;PANCAS;Mata Atlantica;9;0;"0,82";"-18,984";"-40,874";;30.1
2019/09/08 16:15:00;AQUA_M-T;Brasil;MINAS GERAIS;VARZEA DA PALMA;Cerrado;48;0;1;"-17,664";"-44,865";;694.1
2019/09/08 16:15:00;AQUA_M-T;Brasil;SAO PAULO;MOGI GUACU;Cerrado;5;0;1;"-22,361";"-46,878";;201.7
2019/09/08 16:15:00;AQUA_M-T;Brasil;RIO DE JANEIRO;BOM JARDIM;Mata Atlantica;5;0;1;"-22,225";"-42,441";;9.5
2019/09/08 16:15:00;AQUA_M-T;Brasil;MINAS GERAIS;UBERABA;Cerrado;10;0;1;"-19,443";"-48,092";;76.9
2019/09/08 16:15:00;AQUA_M-T;Brasil;ESPIRITO SANTO;PANCAS;Mata Atlantica;9;0;"0,82";"-18,982";"-40,863";;30.9
2019/09/08 16:15:00;AQUA_M-T;Brasil;ESPIRITO SANTO;ITARANA;Mata Atlantica;9;0;1;"-19,927";"-40,939";;17
2019/09/08 16:15:00;AQUA_M-T;Brasil;ESPIRITO SANTO;PANCAS;Mata Atlantica;9;0;"0,82";"-18,982";"-40,868";;24.2
2019/09/08 16:15:00;AQUA_M-T;Brasil;MINAS GERAIS;UBERABA;Cerrado;10;0;"0,76";"-19,46";"-48,047";;99.2
2019/09/08 16:15:00;AQUA_M-T;Brasil;SAO PAULO;MOGI GUACU;Cerrado;5;0;1;"-22,352";"-46,883";;172.1
2019/09/08 16:15:00;AQUA_M-T;Brasil;MINAS GERAIS;GOUVEIA;Cerrado;12;0;1;"-18,377";"-43,821";;17.8
2019/09/08 16:15:00;AQUA_M-T;Brasil;MINAS GERAIS;VARZEA DA PALMA;Cerrado;48;0;1;"-17,676";"-44,863";;996.4
2019/09/08 16:15:00;AQUA_M-T;Brasil;MINAS GERAIS;ARINOS;Cerrado;48;0;1;"-15,659";"-45,735";;36.3
2019/09/08 16:15:00;AQUA_M-T;Brasil;MINAS GERAIS;CONTAGEM;Cerrado;9;0;NaN;"-19,83";"-44,147";;24.3
2019/09/08 16:15:00;AQUA_M-T;Brasil;MINAS GERAIS;CENTRAL DE MINAS;Mata Atlantica;9;0;"0,82";"-18,838";"-41,244";;21.3
2019/09/08 16:15:00;AQUA_M-T;Brasil;GOIAS;CATALAO;Cerrado;12;0;1;"-18,135";"-47,859";;130.7
2019/09/08 16:15:00;AQUA_M-T;Brasil;GOIAS;CATALAO;Cerrado;12;0;"0,98";"-18,141";"-47,827";;90.2
2019/09/08 16:15:00;AQUA_M-T;Brasil;MINAS GERAIS;VARZEA DA PALMA;Cerrado;48;0;1;"-17,666";"-44,885";;70.5
2019/09/08 16:15:00;AQUA_M-T;Brasil;MINAS GERAIS;UBERABA;Cerrado;10;0;1;"-19,447";"-48,087";;131.2
2019/09/08 16:15:00;AQUA_M-T;Brasil;MINAS GERAIS;VARZEA DA PALMA;Cerrado;48;0;1;"-17,679";"-44,883";;177.1
2019/09/08 16:15:00;AQUA_M-T;Brasil;MINAS GERAIS;MANTENA;Mata Atlantica;6;0;"0,99";"-18,799";"-40,942";;19.7
2019/09/08 16:15:00;AQUA_M-T;Brasil;MINAS GERAIS;UBERABA;Cerrado;10;0;1;"-19,463";"-48,086";;151
2019/09/08 16:15:00;AQUA_M-T;Brasil;MINAS GERAIS;UBERABA;Cerrado;10;0;1;"-19,58";"-47,656";;106.6
2019/09/08 16:15:00;AQUA_M-T;Brasil;MINAS GERAIS;ITUMIRIM;Mata Atlantica;5;0;1;"-21,353";"-44,866";;18.3
2019/09/08 16:15:00;AQUA_M-T;Brasil;RIO DE JANEIRO;CAMPOS DOS GOYTACAZES;Mata Atlantica;10;0;1;"-21,989";"-41,471";;6.5
2019/09/08 16:15:00;AQUA_M-T;Brasil;MINAS GERAIS;UBERABA;Cerrado;10;0;1;"-19,57";"-47,653";;104.1
2019/09/08 16:15:00;AQUA_M-T;Brasil;ESPIRITO SANTO;PANCAS;Mata Atlantica;9;0;"0,82";"-18,993";"-40,872";;51
2019/09/08 16:15:00;AQUA_M-T;Brasil;MINAS GERAIS;ITABIRITO;Mata Atlantica;10;0;"0,84";"-20,228";"-43,741";;18.1
2019/09/08 16:15:00;AQUA_M-T;Brasil;MINAS GERAIS;NOVA MODICA;Mata Atlantica;9;0;1;"-18,437";"-41,534";;34.8
2019/09/08 16:15:00;AQUA_M-T;Brasil;ESPIRITO SANTO;AFONSO CLAUDIO;Mata Atlantica;9;0;1;"-20,133";"-41,217";;8.9
2019/09/08 16:15:00;AQUA_M-T;Brasil;ESPIRITO SANTO;PANCAS;Mata Atlantica;9;0;"0,82";"-18,992";"-40,861";;120
2019/09/08 16:15:00;AQUA_M-T;Brasil;MINAS GERAIS;GOVERNADOR VALADARES;Mata Atlantica;9;0;1;"-18,88";"-41,821";;15.2
2019/09/08 16:15:00;AQUA_M-T;Brasil;GOIAS;COCALZINHO DE GOIAS;Cerrado;34;0;1;"-15,761";"-48,77";;67
2019/09/08 16:15:00;AQUA_M-T;Brasil;GOIAS;CORUMBA DE GOIAS;Cerrado;34;0;1;"-15,836";"-48,839";;32.7
2019/09/08 16:15:00;AQUA_M-T;Brasil;GOIAS;PIRENOPOLIS;Cerrado;34;0;1;"-15,831";"-48,847";;50.6
2019/09/08 16:15:00;AQUA_M-T;Brasil;RIO DE JANEIRO;SAO FIDELIS;Mata Atlantica;10;0;1;"-21,517";"-41,74";;25.5
