"Tabela 5938 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2010"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Brasil, Município, Mesorregião Geográfica e Microrregião Geográfica";"Ano";""
"Brasil";"2002";"1488787276,0"
"Brasil";"2003";"1717950386,1"
"Brasil";"2004";"1957751224,0"
"Brasil";"2005";"2170584503,0"
"Brasil";"2006";"2409449916,0"
"Brasil";"2007";"2720262950,9"
"Brasil";"2008";"3109803097,0"
"Brasil";"2009";"3333039339,0"
"Brasil";"2010";"3885847000,0"
"Brasil";"2011";"4376382000,0"
"Brasil";"2012";"4814760000,0"
"Brasil";"2013";"5331618956,6"
"Brasil";"2014";"5778952780,0"
"Brasil";"2015";"5995787000,0"
"Brasil";"2016";"6267205000,0"
"Alta Floresta D'Oeste (RO)";"2002";"111291,0"
"Alta Floresta D'Oeste (RO)";"2003";"143222,4"
"Alta Floresta D'Oeste (RO)";"2004";"173990,8"
"Alta Floresta D'Oeste (RO)";"2005";"167127,4"
"Alta Floresta D'Oeste (RO)";"2006";"168805,1"
"Alta Floresta D'Oeste (RO)";"2007";"191364,3"
"Alta Floresta D'Oeste (RO)";"2008";"248961,8"
"Alta Floresta D'Oeste (RO)";"2009";"256986,1"
"Alta Floresta D'Oeste (RO)";"2010";"262076,9"
"Alta Floresta D'Oeste (RO)";"2011";"280509,6"
"Alta Floresta D'Oeste (RO)";"2012";"329029,5"
"Alta Floresta D'Oeste (RO)";"2013";"341324,7"
"Alta Floresta D'Oeste (RO)";"2014";"377799,0"
"Alta Floresta D'Oeste (RO)";"2015";"421300,0"
"Alta Floresta D'Oeste (RO)";"2016";"477782,7"
"Ariquemes (RO)";"2002";"449592,8"
"Ariquemes (RO)";"2003";"539636,2"
"Ariquemes (RO)";"2004";"657193,2"
"Ariquemes (RO)";"2005";"749021,2"
"Ariquemes (RO)";"2006";"790696,6"
"Ariquemes (RO)";"2007";"905202,6"
"Ariquemes (RO)";"2008";"1064822,0"
"Ariquemes (RO)";"2009";"1133094,9"
"Ariquemes (RO)";"2010";"1364693,8"
"Ariquemes (RO)";"2011";"1651885,0"
"Ariquemes (RO)";"2012";"1703641,9"
"Ariquemes (RO)";"2013";"1799852,5"
"Ariquemes (RO)";"2014";"1921531,6"
"Ariquemes (RO)";"2015";"2037798,6"
"Ariquemes (RO)";"2016";"2183383,2"
"Cabixi (RO)";"2002";"31767,5"
"Cabixi (RO)";"2003";"40984,6"
"Cabixi (RO)";"2004";"43392,5"
"Cabixi (RO)";"2005";"49129,6"
"Cabixi (RO)";"2006";"46883,8"
"Cabixi (RO)";"2007";"49165,8"
"Cabixi (RO)";"2008";"60587,7"
"Cabixi (RO)";"2009";"69776,0"
"Cabixi (RO)";"2010";"69611,1"
"Cabixi (RO)";"2011";"77217,2"
"Cabixi (RO)";"2012";"99586,5"
"Cabixi (RO)";"2013";"96364,5"
"Cabixi (RO)";"2014";"113477,4"
"Cabixi (RO)";"2015";"116565,2"
"Cabixi (RO)";"2016";"133345,4"
"Cacoal (RO)";"2002";"474443,1"
"Cacoal (RO)";"2003";"622437,2"
"Cacoal (RO)";"2004";"622414,6"
"Cacoal (RO)";"2005";"758959,6"
"Cacoal (RO)";"2006";"743193,7"
"Cacoal (RO)";"2007";"814890,3"
"Cacoal (RO)";"2008";"928698,7"
"Cacoal (RO)";"2009";"985478,8"
"Cacoal (RO)";"2010";"1186494,1"
"Cacoal (RO)";"2011";"1259024,3"
"Cacoal (RO)";"2012";"1372705,1"
"Cacoal (RO)";"2013";"1433253,5"
"Cacoal (RO)";"2014";"1660649,6"
"Cacoal (RO)";"2015";"1794477,5"
"Cacoal (RO)";"2016";"1944786,6"
"Cerejeiras (RO)";"2002";"79173,6"
"Cerejeiras (RO)";"2003";"99983,4"
"Cerejeiras (RO)";"2004";"121365,7"
"Cerejeiras (RO)";"2005";"129107,0"
"Cerejeiras (RO)";"2006";"124415,0"
"Cerejeiras (RO)";"2007";"143269,9"
"Cerejeiras (RO)";"2008";"167474,3"
"Cerejeiras (RO)";"2009";"190902,1"
"Cerejeiras (RO)";"2010";"222021,2"
"Cerejeiras (RO)";"2011";"260142,1"
"Cerejeiras (RO)";"2012";"357333,0"
"Cerejeiras (RO)";"2013";"353269,7"
"Cerejeiras (RO)";"2014";"392416,8"
"Cerejeiras (RO)";"2015";"397736,1"
"Cerejeiras (RO)";"2016";"408047,8"
"Colorado do Oeste (RO)";"2002";"87253,6"
"Colorado do Oeste (RO)";"2003";"103362,9"
"Colorado do Oeste (RO)";"2004";"114815,1"
"Colorado do Oeste (RO)";"2005";"126533,7"
"Colorado do Oeste (RO)";"2006";"126669,5"
"Colorado do Oeste (RO)";"2007";"137898,9"
"Colorado do Oeste (RO)";"2008";"157025,6"
"Colorado do Oeste (RO)";"2009";"174168,0"
"Colorado do Oeste (RO)";"2010";"193092,6"
"Colorado do Oeste (RO)";"2011";"206425,2"
"Colorado do Oeste (RO)";"2012";"222070,7"
"Colorado do Oeste (RO)";"2013";"242767,2"
"Colorado do Oeste (RO)";"2014";"273758,6"
"Colorado do Oeste (RO)";"2015";"285372,1"
"Colorado do Oeste (RO)";"2016";"305876,2"
"Corumbiara (RO)";"2002";"45164,8"
"Corumbiara (RO)";"2003";"57283,8"
"Corumbiara (RO)";"2004";"67309,2"
"Corumbiara (RO)";"2005";"70936,3"
"Corumbiara (RO)";"2006";"68935,3"
"Corumbiara (RO)";"2007";"72291,3"
"Corumbiara (RO)";"2008";"95990,2"
"Corumbiara (RO)";"2009";"119226,0"
"Corumbiara (RO)";"2010";"114768,3"
"Corumbiara (RO)";"2011";"145412,1"
"Corumbiara (RO)";"2012";"175872,5"
"Corumbiara (RO)";"2013";"168680,6"
"Corumbiara (RO)";"2014";"186868,0"
"Corumbiara (RO)";"2015";"190905,8"
"Corumbiara (RO)";"2016";"236578,2"
"Costa Marques (RO)";"2002";"37308,4"
"Costa Marques (RO)";"2003";"50995,7"
"Costa Marques (RO)";"2004";"53904,5"
"Costa Marques (RO)";"2005";"62986,5"
"Costa Marques (RO)";"2006";"60811,8"
"Costa Marques (RO)";"2007";"74214,6"
"Costa Marques (RO)";"2008";"90970,6"
"Costa Marques (RO)";"2009";"99853,6"
"Costa Marques (RO)";"2010";"107583,1"
"Costa Marques (RO)";"2011";"120018,0"
"Costa Marques (RO)";"2012";"134090,8"
"Costa Marques (RO)";"2013";"149738,8"
"Costa Marques (RO)";"2014";"168604,5"
"Costa Marques (RO)";"2015";"187170,1"
"Costa Marques (RO)";"2016";"206123,2"
"Espigão D'Oeste (RO)";"2002";"119311,5"
"Espigão D'Oeste (RO)";"2003";"153424,6"
"Espigão D'Oeste (RO)";"2004";"180675,6"
"Espigão D'Oeste (RO)";"2005";"203256,9"
"Espigão D'Oeste (RO)";"2006";"195271,1"
"Espigão D'Oeste (RO)";"2007";"220451,9"
"Espigão D'Oeste (RO)";"2008";"265615,9"
"Espigão D'Oeste (RO)";"2009";"291490,6"
"Espigão D'Oeste (RO)";"2010";"311787,8"
"Espigão D'Oeste (RO)";"2011";"347581,1"
"Espigão D'Oeste (RO)";"2012";"376177,4"
"Espigão D'Oeste (RO)";"2013";"426546,2"
"Espigão D'Oeste (RO)";"2014";"462389,4"
"Espigão D'Oeste (RO)";"2015";"483961,5"
"Espigão D'Oeste (RO)";"2016";"544663,7"
"Guajará-Mirim (RO)";"2002";"174680,5"
"Guajará-Mirim (RO)";"2003";"247248,3"
"Guajará-Mirim (RO)";"2004";"302287,2"
"Guajará-Mirim (RO)";"2005";"327643,4"
"Guajará-Mirim (RO)";"2006";"325665,3"
"Guajará-Mirim (RO)";"2007";"374116,2"
"Guajará-Mirim (RO)";"2008";"491320,3"
"Guajará-Mirim (RO)";"2009";"521103,6"
"Guajará-Mirim (RO)";"2010";"598167,1"
"Guajará-Mirim (RO)";"2011";"715386,1"
"Guajará-Mirim (RO)";"2012";"516171,5"
"Guajará-Mirim (RO)";"2013";"605130,8"
"Guajará-Mirim (RO)";"2014";"646153,6"
"Guajará-Mirim (RO)";"2015";"682458,0"
"Guajará-Mirim (RO)";"2016";"740159,7"
"Jaru (RO)";"2002";"306157,6"
"Jaru (RO)";"2003";"385506,6"
"Jaru (RO)";"2004";"420125,8"
"Jaru (RO)";"2005";"569682,3"
"Jaru (RO)";"2006";"614007,6"
"Jaru (RO)";"2007";"693761,9"
"Jaru (RO)";"2008";"708837,4"
"Jaru (RO)";"2009";"722047,3"
"Jaru (RO)";"2010";"797296,4"
"Jaru (RO)";"2011";"861622,7"
"Jaru (RO)";"2012";"1004963,8"
"Jaru (RO)";"2013";"1070429,4"
"Jaru (RO)";"2014";"1130660,5"
"Jaru (RO)";"2015";"1207965,1"
"Jaru (RO)";"2016";"1311875,4"
"Ji-Paraná (RO)";"2002";"657399,9"
"Ji-Paraná (RO)";"2003";"774034,6"
"Ji-Paraná (RO)";"2004";"933474,1"
"Ji-Paraná (RO)";"2005";"1066022,1"
"Ji-Paraná (RO)";"2006";"1110408,7"
"Ji-Paraná (RO)";"2007";"1257349,9"
"Ji-Paraná (RO)";"2008";"1496175,5"
"Ji-Paraná (RO)";"2009";"1640343,9"
"Ji-Paraná (RO)";"2010";"1855358,7"
"Ji-Paraná (RO)";"2011";"2056220,4"
"Ji-Paraná (RO)";"2012";"2318728,5"
"Ji-Paraná (RO)";"2013";"2374800,6"
"Ji-Paraná (RO)";"2014";"2651245,7"
"Ji-Paraná (RO)";"2015";"2755754,8"
"Ji-Paraná (RO)";"2016";"2991592,2"
"Machadinho D'Oeste (RO)";"2002";"83828,4"
"Machadinho D'Oeste (RO)";"2003";"129475,7"
"Machadinho D'Oeste (RO)";"2004";"156742,9"
"Machadinho D'Oeste (RO)";"2005";"186677,6"
"Machadinho D'Oeste (RO)";"2006";"167420,7"
"Machadinho D'Oeste (RO)";"2007";"183665,6"
"Machadinho D'Oeste (RO)";"2008";"234493,7"
"Machadinho D'Oeste (RO)";"2009";"254438,4"
"Machadinho D'Oeste (RO)";"2010";"272200,9"
"Machadinho D'Oeste (RO)";"2011";"301792,4"
"Machadinho D'Oeste (RO)";"2012";"353071,0"
"Machadinho D'Oeste (RO)";"2013";"396658,4"
"Machadinho D'Oeste (RO)";"2014";"424790,5"
"Machadinho D'Oeste (RO)";"2015";"451940,0"
"Machadinho D'Oeste (RO)";"2016";"512539,5"
"Nova Brasilândia D'Oeste (RO)";"2002";"65740,1"
"Nova Brasilândia D'Oeste (RO)";"2003";"89820,7"
"Nova Brasilândia D'Oeste (RO)";"2004";"90568,8"
"Nova Brasilândia D'Oeste (RO)";"2005";"109278,5"
"Nova Brasilândia D'Oeste (RO)";"2006";"108174,5"
"Nova Brasilândia D'Oeste (RO)";"2007";"139569,3"
"Nova Brasilândia D'Oeste (RO)";"2008";"167221,2"
"Nova Brasilândia D'Oeste (RO)";"2009";"164380,5"
"Nova Brasilândia D'Oeste (RO)";"2010";"173651,3"
"Nova Brasilândia D'Oeste (RO)";"2011";"188992,2"
"Nova Brasilândia D'Oeste (RO)";"2012";"215981,7"
"Nova Brasilândia D'Oeste (RO)";"2013";"230676,4"
"Nova Brasilândia D'Oeste (RO)";"2014";"257254,9"
"Nova Brasilândia D'Oeste (RO)";"2015";"272574,3"
"Nova Brasilândia D'Oeste (RO)";"2016";"307693,5"
"Ouro Preto do Oeste (RO)";"2002";"191704,4"
"Ouro Preto do Oeste (RO)";"2003";"243121,1"
"Ouro Preto do Oeste (RO)";"2004";"264994,5"
"Ouro Preto do Oeste (RO)";"2005";"289681,7"
"Ouro Preto do Oeste (RO)";"2006";"289191,7"
"Ouro Preto do Oeste (RO)";"2007";"319106,6"
"Ouro Preto do Oeste (RO)";"2008";"400930,6"
"Ouro Preto do Oeste (RO)";"2009";"399690,2"
"Ouro Preto do Oeste (RO)";"2010";"477501,3"
"Ouro Preto do Oeste (RO)";"2011";"507789,7"
"Ouro Preto do Oeste (RO)";"2012";"527990,2"
"Ouro Preto do Oeste (RO)";"2013";"556443,4"
"Ouro Preto do Oeste (RO)";"2014";"600734,4"
"Ouro Preto do Oeste (RO)";"2015";"633049,7"
"Ouro Preto do Oeste (RO)";"2016";"708914,8"
"Pimenta Bueno (RO)";"2002";"180336,9"
"Pimenta Bueno (RO)";"2003";"227003,6"
"Pimenta Bueno (RO)";"2004";"264272,8"
"Pimenta Bueno (RO)";"2005";"308138,5"
"Pimenta Bueno (RO)";"2006";"311875,9"
"Pimenta Bueno (RO)";"2007";"336934,2"
"Pimenta Bueno (RO)";"2008";"419977,9"
"Pimenta Bueno (RO)";"2009";"471876,2"
"Pimenta Bueno (RO)";"2010";"540861,6"
"Pimenta Bueno (RO)";"2011";"602732,2"
"Pimenta Bueno (RO)";"2012";"687732,4"
"Pimenta Bueno (RO)";"2013";"755541,8"
"Pimenta Bueno (RO)";"2014";"837925,3"
"Pimenta Bueno (RO)";"2015";"906442,5"
"Pimenta Bueno (RO)";"2016";"1001086,5"
"Porto Velho (RO)";"2002";"2325673,1"
"Porto Velho (RO)";"2003";"2765053,8"
"Porto Velho (RO)";"2004";"3388128,1"
"Porto Velho (RO)";"2005";"3801042,1"
"Porto Velho (RO)";"2006";"4093384,5"
"Porto Velho (RO)";"2007";"4474811,5"
"Porto Velho (RO)";"2008";"5267601,8"
"Porto Velho (RO)";"2009";"6841953,5"
