CNUC;UNIDADE;RESULTADOS;PRODUTOS E SERVIÇOS;CONTEXTO;PLANEJAMENTO ;INSUMOS;PROCESSOS;CATEGORIA;BIOMA;CR;Nota Geral;Efetividade de Gestão em %
0000.00.0006;ÁREA DE PROTEÇÃO AMBIENTAL DA BALEIA FRANCA;0,5;0,618386243;0,619047619;0,609139017;0,64009895;0,583333333;Área de Proteção Ambiental;Marinho-Costeiro;CR9 Florianópolis/SC;0,890041334;59,34%
0000.00.0007;ÁREA DE PROTEÇÃO AMBIENTAL BARRA DO RIO MAMANGUAPE;0,691558442;0,741341991;0,403061224;0,372271276;0,235821786;0,364583333;Área de Proteção Ambiental;Marinho-Costeiro;CR6 Cabedelo/PB;0,683527634;45,57%
0000.00.3407;ÁREA DE PROTEÇÃO AMBIENTAL DOS CAMPOS DE MANICORÉ;0,416666667;0,5;0,458333333;0,1760424;0,014389714;0,333333333;Área de Proteção Ambiental;Amazônia;CR2 Manaus/AM;0,407674712;27,18%
0000.00.0020;ÁREA DE PROTEÇÃO AMBIENTAL CARSTE DA LAGOA SANTA;0,369859307;0,393650794;0,357142857;0,170946067;0,000106111;0,28125;Área de Proteção Ambiental;Category V;CR11 Lagoa Santa/MG;0,329850181;21,99%
0000.00.0002;Área de Proteção Ambiental Cavernas do Peruaçu;0,451785714;0,657894737;0,466666667;0,422543998;0,5476105;0,338541667;Área de Proteção Ambiental;Cerrado;CR11 Lagoa Santa/MG;0,709399839;47,29%
0000.00.0009;ÁREA DE PROTEÇÃO AMBIENTAL COSTA DOS CORAIS;0,833333333;0,602678571;0,365079365;0,713199395;0,766776167;0,708333333;Área de Proteção Ambiental;Marinho-Costeiro;CR6 Cabedelo/PB;0,982017049;65,47%
0000.00.1912;ÁREA DE PROTEÇÃO AMBIENTAL COSTA DAS ALGAS;0,785714286;0,588435374;0,363095238;0,428748899;0,635818286;0,361111111;Área de Proteção Ambiental;Mata Atlântica;CR7 Porto Seguro/BA;0,765681105;51,05%
0000.00.0019;ÁREA DE PROTEÇÃO AMBIENTAL DELTA DO PARNAIBA;0,6;0,618303571;0,338435374;0,534091105;0,5001105;0,395833333;Área de Proteção Ambiental;Marinho-Costeiro;CR5 Parnaíba/PI;0,734002142;48,93%
0000.00.0015;ÁREA DE PROTEÇÃO AMBIENTAL DE FERNANDO DE NORONHA;0,5;0,540178571;0,325396825;0,5762328;0,4951105;0,5;Área de Proteção Ambiental;Marinho-Costeiro;CR6 Cabedelo/PB;0,724688;48,31%
0000.00.0017;ÁREA DE PROTEÇÃO AMBIENTAL DE GUARAQUEÇABA;0,722222222;0,653628118;0,407738095;0,538215479;0,681924182;0,535714286;Área de Proteção Ambiental;Mata Atlântica;CR9 Florianópolis/SC;0,874576938;58,31%
0000.00.0025;ÁREA DE PROTEÇÃO AMBIENTAL ILHAS E VÁRZEAS DO RIO PARANÁ;0,615800866;0,473809524;0,438311688;0,586655158;0,573441333;0,375;Área de Proteção Ambiental;Mata Atlântica;CR9 Florianópolis/SC;0,754966427;50,33%
0000.00.0024;ÁREA DE PROTEÇÃO AMBIENTAL MEANDROS DO ARAGUAIA;0,693181818;0,588235294;0,426587302;0,339112793;0,269553944;0,1640625;Área de Proteção Ambiental;Cerrado;CR10 Cuiabá/MT;0,589169605;39,28%
0000.00.0028;ÁREA DE PROTEÇÃO AMBIENTAL DAS NASCENTES DO RIO VERMELHO;0,5;0,505411255;0,401785714;0,500364629;0,477882778;0,5625;Área de Proteção Ambiental;Cerrado;CR11 Lagoa Santa/MG;0,73401448;48,93%
0000.00.0010;ÁREA DE PROTEÇÃO AMBIENTAL DE PETRÓPOLIS;0,416666667;0,547101449;0,268333333;0,16334677;0,715735688;0,30952381;Área de Proteção Ambiental;Mata Atlântica;CR8 Rio de Janeiro/RJ;0,557290857;37,15%
0000.00.0005;ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO JOÃO - MICO LEÃO;0,678571429;0,554563492;0,326530612;0,778290954;0,650105222;0,8125;Área de Proteção Ambiental;Mata Atlântica;CR8 Rio de Janeiro/RJ;0,92936121;61,96%
