date,areaMunKm,areaUcKm,uc,uf,municipio
20/07/2019,0.0665,0,,PA,Altamira
01/09/2019,0.1016,0.1016,FLORESTA NACIONAL DO AMANA,PA,Itaituba
29/08/2019,0.0735,0.0735,FLORESTA NACIONAL DO CREPORI,PA,Jacareacanga
29/08/2019,0.015,0.015,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Jacareacanga
29/08/2019,0.084,0.084,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Itaituba
06/05/2019,0.0919,0.107,FLORESTA NACIONAL DO AMANA,PA,Itaituba
06/05/2019,0.0773,0.1168,FLORESTA NACIONAL DO AMANA,PA,Itaituba
06/05/2019,0.0711,0.0711,FLORESTA NACIONAL DO AMANA,PA,Itaituba
29/08/2019,0.1749,0.1749,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Itaituba
01/04/2019,0.0017,0.0907,FLORESTA NACIONAL DO AMANA,PA,Itaituba
18/08/2019,0.1065,0.1065,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Itaituba
02/02/2019,0.04,0.066,FLORESTA NACIONAL DO AMANA,PA,Itaituba
18/08/2019,0.1214,0.1214,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Itaituba
18/08/2019,0.2129,0.2129,FLORESTA NACIONAL DO AMANA,PA,Itaituba
30/10/2018,0.1551,0.2174,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Itaituba
30/10/2018,0.0204,0.2174,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Itaituba
30/10/2018,0.1135,0.1428,FLORESTA NACIONAL DO CREPORI,PA,Jacareacanga
30/10/2018,0.1474,0.1484,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Itaituba
30/10/2018,0.116,0.154,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Itaituba
30/10/2018,0.0126,0.0129,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Itaituba
15/08/2019,0.0123,0.0123,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Itaituba
30/10/2018,0.0957,0.1195,FLORESTA NACIONAL DO CREPORI,PA,Jacareacanga
12/08/2019,0.0695,0.0695,FLORESTA NACIONAL DE ALTAMIRA,PA,Itaituba
21/10/2018,0.1057,0.1058,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Itaituba
12/08/2019,0.0682,0.0682,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Itaituba
12/08/2019,0.0956,0.0956,FLORESTA NACIONAL DO AMANA,PA,Itaituba
12/08/2019,0.0735,0.0735,FLORESTA NACIONAL DO AMANA,PA,Jacareacanga
12/08/2019,0.1216,0.1216,FLORESTA NACIONAL DO AMANA,PA,Itaituba
12/08/2019,0.104,0.104,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Itaituba
04/10/2018,0.0061,0.0691,FLORESTA NACIONAL DO AMANA,PA,Itaituba
01/10/2018,0.0719,0.1122,FLORESTA NACIONAL DO AMANA,PA,Itaituba
01/10/2018,0.0232,0.1122,FLORESTA NACIONAL DO AMANA,PA,Itaituba
12/08/2019,0.0784,0.0784,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Itaituba
12/08/2019,0.2459,0.2459,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Itaituba
10/08/2019,0.0667,0.0667,FLORESTA NACIONAL DE CARAJÁS,PA,Parauapebas
10/08/2019,0.1121,0.1121,FLORESTA NACIONAL DE CARAJÁS,PA,Parauapebas
09/08/2019,0.0652,0.0652,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Itaituba
09/08/2019,0.0959,0.0959,PARQUE NACIONAL DO JAMANXIM,PA,Itaituba
