"Tabela 6579 - População residente estimada"
"Variável - População residente estimada (Pessoas)"
"Município";"Ano";""
"Alta Floresta D'Oeste (RO)";"2001";"26919"
"Alta Floresta D'Oeste (RO)";"2002";"27237"
"Alta Floresta D'Oeste (RO)";"2003";"27563"
"Alta Floresta D'Oeste (RO)";"2004";"29001"
"Alta Floresta D'Oeste (RO)";"2005";"28629"
"Alta Floresta D'Oeste (RO)";"2006";"29005"
"Alta Floresta D'Oeste (RO)";"2008";"24577"
"Alta Floresta D'Oeste (RO)";"2009";"24354"
"Alta Floresta D'Oeste (RO)";"2011";"24228"
"Alta Floresta D'Oeste (RO)";"2012";"24069"
"Alta Floresta D'Oeste (RO)";"2013";"25728"
"Alta Floresta D'Oeste (RO)";"2014";"25652"
"Alta Floresta D'Oeste (RO)";"2015";"25578"
"Alta Floresta D'Oeste (RO)";"2016";"25506"
"Alta Floresta D'Oeste (RO)";"2017";"25437"
"Alta Floresta D'Oeste (RO)";"2018";"23167"
"Alta Floresta D'Oeste (RO)";"2019";"22945"
"Ariquemes (RO)";"2001";"76371"
"Ariquemes (RO)";"2002";"78039"
"Ariquemes (RO)";"2003";"79680"
"Ariquemes (RO)";"2004";"86901"
"Ariquemes (RO)";"2005";"85031"
"Ariquemes (RO)";"2006";"86924"
"Ariquemes (RO)";"2008";"84581"
"Ariquemes (RO)";"2009";"85541"
"Ariquemes (RO)";"2011";"91570"
"Ariquemes (RO)";"2012";"92747"
"Ariquemes (RO)";"2013";"101269"
"Ariquemes (RO)";"2014";"102860"
"Ariquemes (RO)";"2015";"104401"
"Ariquemes (RO)";"2016";"105896"
"Ariquemes (RO)";"2017";"107345"
"Ariquemes (RO)";"2018";"106168"
"Ariquemes (RO)";"2019";"107863"
"Cabixi (RO)";"2001";"7501"
"Cabixi (RO)";"2002";"7490"
"Cabixi (RO)";"2003";"7478"
"Cabixi (RO)";"2004";"7421"
"Cabixi (RO)";"2005";"7436"
"Cabixi (RO)";"2006";"7421"
"Cabixi (RO)";"2008";"6777"
"Cabixi (RO)";"2009";"6695"
"Cabixi (RO)";"2011";"6221"
"Cabixi (RO)";"2012";"6132"
"Cabixi (RO)";"2013";"6495"
