Código CNUC;Nome da UC;Monitoramento PRODES;PRODES 2016;PRODES 2015;PRODES 2014;PRODES 2013;PRODES 2012;PRODES 2011;PRODES 2010;PRODES 2009;PRODES 2008;PRODES 2007;PRODES 2006;PRODES 2005;PRODES 2004;PRODES 2003;PRODES 2002;PRODES 2001
cnuc;uc;prodes;2016*;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001
0000.00.0001;APA Anhatomirim;Não;;;;;;;;;;;;;;;;
0000.00.1521;APA Bacia Hidrográfica do Rio Paraíba do Sul;Não;;;;;;;;;;;;;;;;
0000.00.0007;APA Barra do Rio Mamanguape;Não;;;;;;;;;;;;;;;;
0000.00.0020;APA Carste da Lagoa Santa;Não;;;;;;;;;;;;;;;;
0000.00.0002;APA Cavernas do Peruaçu;Não;;;;;;;;;;;;;;;;
0000.00.0008;APA Chapada do Araripe;Não;;;;;;;;;;;;;;;;
0000.00.1912;APA Costa das Algas;Não;;;;;;;;;;;;;;;;
0000.00.0009;APA Costa dos Corais;Não;;;;;;;;;;;;;;;;
0000.00.0003;APA da Bacia do Rio Descoberto;Não;;;;;;;;;;;;;;;;
0000.00.0004;APA da Bacia do Rio São Bartolomeu;Não;;;;;;;;;;;;;;;;
0000.00.0005;APA da Bacia do Rio São João - Mico-Leão-Dourado;Não;;;;;;;;;;;;;;;;
0000.00.0006;APA da Baleia Franca;Não;;;;;;;;;;;;;;;;
0000.00.0025;APA das Ilhas e Várzeas do Rio Paraná;Não;;;;;;;;;;;;;;;;
0000.00.0028;APA das Nascentes do Rio Vermelho;Não;;;;;;;;;;;;;;;;
0000.00.0013;APA de Cairuçu;Não;;;;;;;;;;;;;;;;
0000.00.0014;APA de Cananéia-Iguape-Peruíbe;Não;;;;;;;;;;;;;;;;
0000.00.0015;APA de Fernando de Noronha -Rocas – São Pedro e São Paulo;Não;;;;;;;;;;;;;;;;
0000.00.0016;APA de Guapi-Mirim;Não;;;;;;;;;;;;;;;;
0000.00.0017;APA de Guaraqueçaba;Não;;;;;;;;;;;;;;;;
0000.00.0010;APA de Petrópolis;Não;;;;;;;;;;;;;;;;
0000.00.0018;APA de Piaçabuçu;Não;;;;;;;;;;;;;;;;
0000.00.0019;APA Delta do Parnaíba;Não;;;;;;;;;;;;;;;;
